lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2023-04-24 13:32:20.557915,0.026678673923015594,0.0001043133161147125,0.026678673923015594,2049.0,11.0,,,,,,,,,
0.02,2023-04-24 13:33:13.623573,,,,,,,,,,,,,,
,2023-04-24 13:33:14.695153,0.17000535130500793,0.0014257545117288828,0.17000535130500793,2099.0,11.0,,,,,,,,,
,2023-04-24 13:33:17.456217,,,,,11.0,0.10089518874883652,0.0007380304159596562,0.10089518874883652,0.10803014039993286,0.000618439691606909,0.10803014039993286,,,
,2023-04-24 13:33:17.549259,,,,,11.0,,,,,,,0.1484440118074417,0.001752986921928823,0.1484440118074417
0.02,2023-04-24 13:34:10.830706,,,,,,,,,,,,,,
,2023-04-24 13:34:11.904445,0.14494919776916504,0.0008583540329709649,0.14494919776916504,2149.0,12.0,,,,,,,,,
0.02,2023-04-24 13:35:05.045462,,,,,,,,,,,,,,
,2023-04-24 13:35:06.132932,0.0584588423371315,0.0002258666791021824,0.0584588423371315,2199.0,12.0,,,,,,,,,
0.02,2023-04-24 13:35:59.308194,,,,,,,,,,,,,,
,2023-04-24 13:36:00.394963,0.031105708330869675,0.00011214391270186752,0.031105708330869675,2249.0,12.0,,,,,,,,,
,2023-04-24 13:36:30.325435,,,,,12.0,0.17731578648090363,0.002385438187047839,0.17731578648090363,0.21073834598064423,0.001657012035138905,0.21073834598064423,,,
,2023-04-24 13:36:30.375183,,,,,12.0,,,,,,,0.14279353618621826,0.002841612556949258,0.14279353618621826
0.02,2023-04-24 13:36:56.645448,,,,,,,,,,,,,,
,2023-04-24 13:36:57.722594,0.06740005314350128,0.00023344019427895546,0.06740005314350128,2299.0,13.0,,,,,,,,,
0.02,2023-04-24 13:37:50.575680,,,,,,,,,,,,,,
,2023-04-24 13:37:51.647693,0.11276162415742874,0.00045631229295395315,0.11276162415742874,2349.0,13.0,,,,,,,,,
0.02,2023-04-24 13:38:44.346052,,,,,,,,,,,,,,
,2023-04-24 13:38:45.413448,0.24931056797504425,0.02040957473218441,0.24931056797504425,2399.0,13.0,,,,,,,,,
0.02,2023-04-24 13:39:38.414179,,,,,,,,,,,,,,
,2023-04-24 13:39:39.485971,0.1645561009645462,0.0011115006636828184,0.1645561009645462,2449.0,13.0,,,,,,,,,
,2023-04-24 13:39:42.218707,,,,,13.0,0.10151994973421097,0.0003764663706533611,0.10151994973421097,0.22811436653137207,0.001481619430705905,0.22811436653137207,,,
,2023-04-24 13:39:42.279338,,,,,13.0,,,,,,,0.14425426721572876,0.0025624074041843414,0.14425426721572876
0.02,2023-04-24 13:40:35.718737,,,,,,,,,,,,,,
,2023-04-24 13:40:37.640419,0.17855492234230042,0.001243662554770708,0.17855492234230042,2499.0,14.0,,,,,,,,,
0.02,2023-04-24 13:44:07.043441,,,,,,,,,,,,,,
,2023-04-24 13:44:08.128708,0.13772785663604736,0.0004738573916256428,0.13772785663604736,2549.0,14.0,,,,,,,,,
0.02,2023-04-24 13:45:01.136405,,,,,,,,,,,,,,
,2023-04-24 13:45:02.208377,0.18481136858463287,0.0009468280477449298,0.18481136858463287,2599.0,14.0,,,,,,,,,
